X,Y,Z,azimuth,dip,polarity,formation
544642.29382006,7487591.03977592,649.,385.0,40,1,Marra_Mamba_Iron_Formation
607086.80717191,7444727.55333863,495.,150.0,30,1,Jeerinah_Formation
531347.72580616,7465788.57995945,487.,145.0,20,1,Pyradie_Formation
514501.77134005,7462805.18491735,391.,350.0,28,1,Boolgeeda_Iron_Formation
514501.77134005,7462805.18491735,391.,160.0,20,1,Boolgeeda_Iron_Formation
542483.22581806,7481908.32718671,473.,365.0,60,1,Hardey_Formation
545142.14967586,7476403.27956483,487.,435.0,35,1,Hardey_Formation
512987.22965869,7483071.05938987,426.,320.0,15,1,Pyradie_Formation
516870.41187164,7459398.70542533,332.,180.0,10,1,Turee_Creek_Group
521593.61326286,7460779.79645565,364.,360.0,34,1,Marra_Mamba_Iron_Formation
518231.96272148,7469934.66618707,356.,205.0,57,1,Bunjinah_Formation
536427.17269077,7467198.62833944,472.,180.0,40,1,Hardey_Formation
544589.0465898,7474660.25852222,448.,180.0,45,1,Rocklea_Inlier_greenstones
542937.75226114,7480363.89112035,464.,385.0,65,1,Rocklea_Inlier_greenstones
530515.15279646,7485813.61808323,421.,370.0,60,1,Hardey_Formation
524447.06306093,7473231.44313835,396.,250.0,25,1,Hardey_Formation
535257.61161618,7499029.61466975,519.,360.0,40,1,Jeerinah_Formation
529653.28479411,7489335.50974713,466.,380.0,33,1,Pyradie_Formation
550328.97737249,7459540.19560627,502.,370.0,20,1,Pyradie_Formation
523494.03760025,7473291.61341755,394.,240.0,20,1,Hardey_Formation
572446.57266784,7443668.53536537,456.,410.0,15,1,Hardey_Formation
534215.35909713,7482401.7956682,438.,368.0,58,1,Rocklea_Inlier_greenstones
529903.08208156,7466947.21319796,437.,195.0,25,1,Hardey_Formation
569301.58760947,7438319.50962147,415.,360.0,30,1,Mount_Roe_Basalt
534647.38303052,7483231.0647016,450.,378.0,62,1,Hardey_Formation
542798.44862517,7481931.79983939,473.,388.0,60,1,Hardey_Formation
586007.08310293,7444042.95628388,502.,180.0,30,1,Bunjinah_Formation
513483.16318941,7500796.4401854,520.,320.0,55,1,Weeli_Wolli_Formation
565663.03723282,7440535.74218601,420.,210.0,10,1,Mount_Roe_Basalt
528380.36803454,7442533.6957682,387.,395.0,52,1,Mount_McGrath_Formation
515281.62113721,7463464.19432896,342.,385.0,35,1,Weeli_Wolli_Formation
522375.92916833,7459495.63879847,368.,370.0,36,1,Jeerinah_Formation
587666.43203325,7443747.68915541,499.,180.0,70,1,Bunjinah_Formation
521454.19247432,7476047.70487103,370.,245.0,18,1,Hardey_Formation
576977.15400147,7443519.71898457,499.,410.0,20,1,Boongal_Formation
512750.94579075,7470530.25507564,394.,200.0,30,1,Brockman_Iron_Formation
577602.08799316,7443572.95597485,537.,445.0,30,1,Boongal_Formation
530190.69373834,7461003.10483449,420.,340.0,70,1,Marra_Mamba_Iron_Formation
530225.44994657,7485223.06415469,431.,365.0,55,1,Hardey_Formation
582178.33618308,7442233.26474709,486.,110.0,20,1,Bunjinah_Formation
568462.71352517,7432855.37445969,389.,160.0,40,1,Jeerinah_Formation
529573.78256421,7483273.83183819,411.,335.0,30,1,Rocklea_Inlier_greenstones
541009.70301963,7470340.81260814,456.,130.0,50,1,Rocklea_Inlier_greenstones
572835.59468989,7436710.66834578,408.,145.0,32,1,Hardey_Formation
544176.04020986,7459009.26028192,432.,380.0,40,1,Pyradie_Formation
564566.13995456,7434283.20770544,408.,200.0,30,1,Pyradie_Formation
531138.18012836,7486699.0561047,419.,400.0,70,1,Boongal_Formation
523622.44772275,7473397.68617655,394.,240.0,20,1,Hardey_Formation
548279.32061205,7493304.27929258,543.,190.0,50,1,Jeerinah_Formation
548279.32061205,7493304.27929258,543.,190.0,55,1,Jeerinah_Formation
569858.89846929,7436444.79463724,407.,185.0,40,1,Mount_Roe_Basalt
580096.85830186,7443996.02434336,497.,260.0,25,1,Bunjinah_Formation
594336.07684942,7443062.77347203,514.,180.0,35,1,Bunjinah_Formation
597135.31252138,7442981.75571113,528.,160.0,30,1,Jeerinah_Formation
605173.63056364,7447402.70344443,506.,150.0,5,1,Bunjinah_Formation
565874.71191743,7429351.96981659,391.,200.0,20,1,Jeerinah_Formation
575488.42893365,7432623.27109176,446.,360.0,15,1,Bunjinah_Formation
575970.90543305,7431921.11370527,433.,140.0,20,1,Jeerinah_Formation
565899.17472494,7441848.82481963,437.,100.0,25,1,Mount_Roe_Basalt
541013.16039186,7493387.43930108,533.,150.0,28,1,Bunjinah_Formation
573129.92964091,7437246.1807678,410.,100.0,30,1,Hardey_Formation
598693.64103661,7441697.1943038,558.,160.0,35,1,Jeerinah_Formation
570275.20505823,7433563.24244131,395.,145.0,20,1,Bunjinah_Formation
513192.3268614,7462569.47716908,355.,250.0,20,1,Woongarra_Rhyolite
515424.63469804,7463955.55805755,381.,355.0,44,1,Woongarra_Rhyolite
564245.39550175,7441562.63629561,459.,195.0,30,1,Mount_Roe_Basalt
554655.33243648,7421573.55981888,331.,200.0,90,1,Ashburton_Formation
554655.33243648,7421573.55981888,331.,292.0,65,1,Ashburton_Formation
554655.33243648,7421573.55981888,331.,380.0,80,1,Ashburton_Formation
523931.74116463,7473700.519519,382.,420.0,30,1,Hardey_Formation
523931.74116463,7473700.519519,382.,235.0,29,1,Hardey_Formation
581899.2275525,7431305.12664303,517.,145.0,15,1,Jeerinah_Formation
536742.23216759,7490698.33941677,483.,110.0,28,1,Bunjinah_Formation
561297.79308885,7438287.94847795,416.,132.0,84,1,Bellary_Formation
516934.28420478,7471669.71195556,375.,255.0,12,1,Bunjinah_Formation
548249.15588261,7493512.48955459,543.,190.0,50,1,Jeerinah_Formation
548249.15588261,7493512.48955459,543.,190.0,55,1,Jeerinah_Formation
529885.52504316,7467405.54829427,437.,195.0,50,1,Hardey_Formation
513008.67123034,7470832.24636934,394.,250.0,50,1,Brockman_Iron_Formation
523989.54366251,7500823.54711461,603.,355.0,63,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
593314.67666451,7443651.5447079,522.,190.0,30,1,Bunjinah_Formation
544816.76522296,7476376.5664788,487.,435.0,21,1,Hardey_Formation
537199.09563866,7490607.57099584,530.,110.0,28,1,Jeerinah_Formation
537108.45870601,7466068.9282402,425.,180.0,50,1,Hardey_Formation
532678.47755966,7488131.60125304,464.,385.0,25,1,Pyradie_Formation
543234.97739865,7505326.76715363,617.,330.0,15,1,Jeerinah_Formation
517152.48001671,7459565.54725433,345.,250.0,55,1,Turee_Creek_Group
529709.04532475,7465792.98618302,477.,195.0,65,1,Pyradie_Formation
543754.18068029,7504599.12601575,572.,330.0,15,1,Jeerinah_Formation
530221.47809184,7485474.50627725,431.,368.0,55,1,Hardey_Formation
532604.36997523,7483996.51451291,420.,370.0,40,1,Hardey_Formation
517457.70033702,7458696.32213231,469.,379.0,10,1,Beasley_River_Quartzite
517003.60173976,7459101.83069976,332.,407.0,45,1,Turee_Creek_Group
515576.38417024,7463869.89953907,381.,179.0,44,1,Woongarra_Rhyolite
517245.24473593,7468866.88405918,383.,387.0,70,1,Jeerinah_Formation
517900.42895537,7470203.39152653,373.,387.0,51,1,Bunjinah_Formation
522143.04755332,7478175.84114015,389.,93.0,30,1,Hardey_Formation
513171.07010965,7483067.28347653,441.,138.0,15,1,Pyradie_Formation
522441.04068434,7500496.57253559,592.,163.0,29,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
541065.40971783,7507289.30875077,647.,137.0,26,1,Brockman_Iron_Formation
528702.09351822,7500732.15020471,568.,110.0,41,1,Jeerinah_Formation
535346.60929794,7499105.69666818,519.,175.0,40,1,Jeerinah_Formation
542840.13190584,7483390.16323959,513.,374.0,35,1,Boongal_Formation
525820.9460544,7481790.42211218,398.,151.0,20,1,Hardey_Formation
524637.83778523,7473360.27406998,396.,422.0,27,1,Hardey_Formation
528631.13080443,7469690.22309406,431.,391.0,24,1,Rocklea_Inlier_greenstones
540725.84401231,7470363.77271097,456.,147.0,60,1,Rocklea_Inlier_greenstones
543147.00860993,7470396.83694053,442.,125.0,15,1,Hardey_Formation
540923.1197414,7464689.07660613,406.,363.0,40,1,Pyradie_Formation
536338.31045942,7467537.1106654,423.,362.0,45,1,Mount_Roe_Basalt
529639.04213407,7466387.22108766,516.,383.0,58,1,Boongal_Formation
530378.53979579,7460411.25246547,402.,161.0,45,1,Jeerinah_Formation
522813.80336427,7459671.8431486,401.,363.0,36,1,Jeerinah_Formation
545223.01655008,7475727.05264709,470.,436.0,35,1,Hardey_Formation
547742.67588526,7479703.67071575,481.,409.0,25,1,Hardey_Formation
545836.49343094,7478148.11843409,466.,428.0,15,1,Hardey_Formation
550629.45033249,7482157.73377273,495.,390.0,46,1,Pyradie_Formation
553784.61691641,7482787.75940606,516.,390.0,40,1,Jeerinah_Formation
555570.30909452,7486441.29580547,542.,382.0,50,1,Boolgeeda_Iron_Formation
554912.99402906,7485625.28562051,542.,384.0,70,1,Weeli_Wolli_Formation
544406.7446958,7485143.19779223,567.,379.0,50,1,Bunjinah_Formation
